X,Y,fid,Name,X_ADDR,ADDRESSFLOORNUMBER,Address_Type,PHOTOURL,Y_ADDR,ADDRESSBUILDINGNAME,HYPERLINK,LANDYADDRESSPOINT,INC_CRC,SHAPE,ADDRESSPOSTALCODE,FMEL_UPD_D,ADDRESSSTREETNAME,ADDRESSUNITNUMBER,LANDXADDRESSPOINT,ADDRESSBLOCKHOUSENUMBER,DESCRIPTION
103.845818885585,1.28524640047175,HAWKERCENTRE.74,Hong Lim Market & Food Centre,29391.1799,,,,29741.5399,,,29741.54,A6069393C1065F03,Point,51531,4/11/2017 10:49:15 AM,Upper Cross Street,,29391.18,531A,HUP Reconfiguration
103.884130183315,1.30739616010038,HAWKERCENTRE.75,Kallang Estate Market,33654.86,,,,32190.8,,,32190.8,2F0C253309120209,Point,397972,4/11/2017 10:49:15 AM,Old Airport Road,,33654.86,17,HUP Standard Upgrading
103.988245749103,1.38915172064988,HAWKERCENTRE.76,Blks 2 & 3 Changi Village Road,45241.4,,,,41231.4199,,,41231.42,DC5973E8EE2939E4,Point,500002,4/11/2017 10:49:15 AM,Changi Village Road,,45241.4,2-Mar,HUP Standard Upgrading
103.808127999318,1.28695275199069,HAWKERCENTRE.77,ABC Brickworks Market & Food Centre,25196.5,,,,29930.23,,,29930.23,D9BD256F9184BE67,Point,150006,4/11/2017 10:49:15 AM,Jalan Bukit Merah,,25196.5,6,HUP Reconfiguration
103.814165010384,1.32413422253391,HAWKERCENTRE.78,Adam Food Centre,25868.4,,,,34041.56,,,34041.56,EC26BEAC5C1A7B3F,Point,289876,4/11/2017 10:49:15 AM,Adam Road,,25868.4,2,HUP Standard Upgrading
103.854211645499,1.30100146521511,HAWKERCENTRE.79,Albert Centre Market & Food Centre,30325.21,,,,31483.66,,,31483.66,0906CEDC62A396EF,Point,180270,4/11/2017 10:49:15 AM,Queen Street,,30325.21,270,HUP Standard Upgrading
103.804489277779,1.28629777221785,HAWKERCENTRE.80,Alexandra Village Food Centre,24791.54,,,,29857.81,,,29857.81,98A3C26D8567F7A0,Point,150120,4/11/2017 10:49:15 AM,Bukit Merah Lane 1,,24791.54,120,HUP Standard Upgrading
103.846606784092,1.27921844263404,HAWKERCENTRE.81,Amoy Street Food Centre,29478.87,,,,29075,National Development Building,,29075,81106E053386E820,Point,69111,4/11/2017 10:49:15 AM,Telok Ayer Street,,29478.87,,HUP Standard Upgrading
103.955474150677,1.32035600765504,HAWKERCENTRE.82,Bedok Food Centre,41594.7199,,,,33624.1099,,,33624.11,5074BAFFB7AA8A1C,Point,469572,4/11/2017 10:49:15 AM,Bedok Road,,41594.72,1,HUP Rebuilding
103.827358017197,1.28882210205334,HAWKERCENTRE.83,Beo Crescent Market,27336.6399,,,,30136.9199,,,30136.92,D232402B91E9333E,Point,169982,4/11/2017 10:49:15 AM,Beo Crescent,,27336.64,38A,HUP Standard Upgrading
